parcel_id,centroid_lat,centroid_lon,parcel_address,parcel_addr_number,parcel_addr_street,parcel_addr_suffix,land_use,condo_id,condo_unit,market_total_value,acreage,homestead,rental_registration,complex_id
2270001010100,39.18395293860904,-84.56597287065408,5120 HAWAIIAN TE,5120,HAWAIIAN,TE,"apartment, 20-39 units",NA,NA,400150,1.736,FALSE,NA,hawaiian
2270001010200,39.18406412016341,-84.56519525264274,5108 HAWAIIAN TE,5108,HAWAIIAN,TE,"apartment, 20-39 units",NA,NA,400150,1.258,FALSE,NA,hawaiian
2270002002900,39.18244848145802,-84.56504974805314,5107 HAWAIIAN TE,5107,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,691220,3.4759999999999995,FALSE,NA,hawaiian
2270006002200,39.184056268777354,-84.56029045633656,4812 HAWAIIAN TE,4812,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4812,12500,0,FALSE,TRUE,hawaiian
2270006002000,39.184056268777354,-84.56029045633656,4808 HAWAIIAN TE,4808,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4808,12500,0,FALSE,TRUE,hawaiian
2380002002590,39.18455451300754,-84.51154006807911,5248 VIVIAN PL,5248,VIVIAN,PL,metropolitan housing authority,NA,NA,9905890,17.643,FALSE,NA,winton_hills_mha
2380006001390,39.18853800816238,-84.51380146440736,5382 WINNESTE AV,5382,WINNESTE,AV,metropolitan housing authority,NA,NA,343480,7.05,FALSE,NA,winton_hills_mha
5100031078100,39.27779467105913,-84.56759171840031,2300 WALDEN GLEN CR,2300,WALDEN GLEN,CR,"apartment, 40+ units",NA,NA,7199710,14.266,FALSE,NA,walden_glen
2270001013900,39.18381556824049,-84.56643476591168,5140 HAWAIIAN TE,5140,HAWAIIAN,TE,condominium unit,VALLEYVIEWCONDOMINIUM,UNIT 5140,46250,0,FALSE,TRUE,hawaiian
2270001013500,39.18381556824049,-84.56643476591168,5132 HAWAIIAN TE,5132,HAWAIIAN,TE,condominium unit,VALLEYVIEWCONDOMINIUM,UNIT 5132,46250,0,FALSE,TRUE,hawaiian
2270006001800,39.184056268777354,-84.56029045633656,4804 HAWAIIAN TE,4804,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4804,12500,0,FALSE,TRUE,hawaiian
2370004003200,39.19110599091144,-84.5172163360175,5481 WINTONVIEW PL,5481,WINTONVIEW,PL,"apartment, 20-39 units",NA,NA,392200,0.7190000000000001,FALSE,NA,silver_oaks
2380006001590,39.189008036614915,-84.51277203281157,5400 HOLLAND DR,5400,HOLLAND,DR,metropolitan housing authority,NA,NA,209260,2.6319999999999997,FALSE,NA,winton_hills_mha
2380006004100,39.1922392708777,-84.5123128369439,5678 GARDENHILL LN,5678,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,201400,0.7909999999999999,FALSE,NA,silver_oaks
2380006004600,39.19197394904441,-84.51308568145863,5663 GARDENHILL LN,5663,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,119910,0.4220000000000001,FALSE,NA,silver_oaks
2380006005600,39.191676680986916,-84.51215914998836,5630 GARDENHILL LN,5630,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,119920,0.4740000000000001,FALSE,NA,silver_oaks
2280003022800,39.19037603574771,-84.56675377571777,5464 BAHAMA TE,5464,BAHAMA,TE,"apartment, 40+ units",NA,NA,433340,7.378,FALSE,NA,bahama
5930011010800,39.233883894062146,-84.53561011973007,7600 7 CLOVERNOOK AV,7600 7,CLOVERNOOK,AV,"apartment, 40+ units",NA,NA,12829330,28.25,FALSE,NA,clovernook
2270006002600,39.1841909525898,-84.56067307065084,4820 HAWAIIAN TE,4820,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4820,12500,0,FALSE,TRUE,hawaiian
2270006003300,39.1841909525898,-84.56067307065084,4834 HAWAIIAN TE,4834,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4834,12500,0,FALSE,TRUE,hawaiian
2270006003400,39.1841909525898,-84.56067307065084,4836 HAWAIIAN TE,4836,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4836,12500,0,FALSE,TRUE,hawaiian
2270001009800,39.183559054204196,-84.56683518932134,5150 HAWAIIAN TE,5150,HAWAIIAN,TE,single family dwelling,NA,NA,75220,0.165,TRUE,NA,hawaiian
2270001010600,39.18452734010184,-84.56561177563879,5036 HAWAIIAN TE,5036,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,148400,1.8010000000000002,FALSE,NA,hawaiian
2270001013400,39.18381556824049,-84.56643476591168,5130 HAWAIIAN TE,5130,HAWAIIAN,TE,condominium unit,VALLEYVIEWCONDOMINIUM,UNIT 5130,46250,0,FALSE,TRUE,hawaiian
2270006002300,39.184056268777354,-84.56029045633656,4814 HAWAIIAN TE,4814,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4814,12500,0,FALSE,TRUE,hawaiian
2380006001690,39.187523486554475,-84.51234319587893,5320 HOLLAND DR,5320,HOLLAND,DR,metropolitan housing authority,NA,NA,13590,0.15600000000000003,FALSE,NA,winton_hills_mha
2380006002490,39.188949025375386,-84.51139590205742,605 DUTCH COLONY DR,605,DUTCH COLONY,DR,metropolitan housing authority,NA,NA,202310,2.201,FALSE,NA,winton_hills_mha
2250002002800,39.15569219732024,-84.55819805225794,3710 PRESIDENT DR,3710,PRESIDENT,DR,"apartment, 40+ units",NA,NA,8001940,26.327,FALSE,NA,villages_at_roll_hill
2270006003200,39.1841909525898,-84.56067307065084,4832 HAWAIIAN TE,4832,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4832,12500,0,FALSE,TRUE,hawaiian
5910002003800,39.278150488128205,-84.497268750347,580 DEWDROP CR,580,DEWDROP,CR,"apartment, 40+ units",NA,NA,4473490,14.725000000000001,FALSE,NA,dewdrop
2270001008500,39.189140604656046,-84.5653685685919,5378 BAHAMA TE,5378,BAHAMA,TE,"apartment, 40+ units",NA,NA,721300,6.1049999999999995,FALSE,NA,bahama
2270001008800,39.1884914258097,-84.56798627014936,5473 BAHAMA TE,5473,BAHAMA,TE,"apartment, 4-19 units",NA,NA,93390,4.71,FALSE,NA,bahama
2270001011500,39.183948441227386,-84.56338805378019,5053 HAWAIIAN TE,5053,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,97520,1.033,FALSE,NA,hawaiian
2270001013700,39.18381556824049,-84.56643476591168,5136 HAWAIIAN TE,5136,HAWAIIAN,TE,condominium unit,VALLEYVIEWCONDOMINIUM,UNIT 5136,46250,0,FALSE,TRUE,hawaiian
2270006001700,39.184056268777354,-84.56029045633656,4802 HAWAIIAN TE,4802,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4802,12500,0,FALSE,TRUE,hawaiian
2270006001400,39.184056268777354,-84.56029045633656,4796 HAWAIIAN TE,4796,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4796,12500,0,FALSE,TRUE,hawaiian
2370005000990,39.188737545000336,-84.51673058577283,595 STRAND LN,595,STRAND,LN,metropolitan housing authority,NA,NA,14043020,29.272000000000002,FALSE,NA,winton_hills_mha
2370005001090,39.190619498746734,-84.51720107911743,776 DUTCH COLONY DR,776,DUTCH COLONY,DR,metropolitan housing authority,NA,NA,301520,5.708,FALSE,NA,winton_hills_mha
2380006004200,39.191405669879465,-84.51157001674173,5600 GARDENHILL LN,5600,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,392200,0.49400000000000005,FALSE,NA,silver_oaks
2380006005800,39.19232323777161,-84.51315375641434,5687 GARDENHILL LN,5687,GARDENHILL,LN,"apartment, 4-19 units",NA,NA,49650,0.128,FALSE,NA,silver_oaks
2250001003200,39.15550364197184,-84.5593996533477,3811-4 PRESIDENT DR,3811-4,PRESIDENT,DR,"apartment, 40+ units",NA,NA,2668760,4.126999999999999,FALSE,NA,villages_at_roll_hill
5100031000200,39.276910435820916,-84.56740714335757,2300 WALDEN GLEN CR,2300,WALDEN GLEN,CR,"apartment, 40+ units",NA,NA,4429650,7.193999999999999,FALSE,NA,walden_glen
2270006003600,39.1841909525898,-84.56067307065084,4840 HAWAIIAN TE,4840,HAWAIIAN,TE,condominium unit,HAWAIIANVILLAGECONDOMINIUM2,UNIT 4840,12500,0,FALSE,TRUE,hawaiian
2270006003700,39.1841909525898,-84.56067307065084,4842 HAWAIIAN TE,4842,HAWAIIAN,TE,condominium unit,4842COMINTHAWIIANVILLAGECONDOMINIUM2,UNIT DESIGNATION,12500,0,FALSE,TRUE,hawaiian
2270005001500,39.18267373865588,-84.55985045398715,4841 HAWAIIAN TE,4841,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,185650,3.4090000000000003,FALSE,NA,hawaiian
5900392051100,39.277590456826246,-84.56418106719433,2300 WALDEN GLEN CR,2300,WALDEN GLEN,CR,"apartment, 40+ units",NA,NA,9610,0.606,FALSE,NA,walden_glen
2270002002800,39.182597299530734,-84.56416345957741,5101 HAWAIIAN TE,5101,HAWAIIAN,TE,"apartment, 40+ units",NA,NA,367070,2.541,FALSE,NA,hawaiian
